epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_drone_precision,train_drone_recall,train_drone_f1,train_drone_support,train_bird_precision,train_bird_recall,train_bird_f1,train_bird_support,train_airplane_precision,train_airplane_recall,train_airplane_f1,train_airplane_support,train_helicopter_precision,train_helicopter_recall,train_helicopter_f1,train_helicopter_support,train_confusion_matrix,val_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_drone_precision,val_drone_recall,val_drone_f1,val_drone_support,val_bird_precision,val_bird_recall,val_bird_f1,val_bird_support,val_airplane_precision,val_airplane_recall,val_airplane_f1,val_airplane_support,val_helicopter_precision,val_helicopter_recall,val_helicopter_f1,val_helicopter_support,val_confusion_matrix
1,0.8975683477268784,0.7666349871763158,0.25045740604400635,0.24528548121452332,0.25045740604400635,0.21901868283748627,0.7682560682296753,0.9977290630340576,0.8680835962295532,59007,0.109375,0.003350885584950447,0.006502554751932621,2089,0.0357142873108387,0.00027322405367158353,0.0005422993563115597,7320,0.06779661029577255,0.00047647408791817725,0.0009462976013310254,8395,"[[58873,37,45,52],[2080,7,1,1],[7305,11,2,2],[8374,9,8,4]]",0.8338010359529389,0.7893862044402232,0.25,0.1973465532064438,0.25,0.22057457268238068,0.7893862128257751,1.0,0.8822982907295227,6649,0.0,0.0,0.0,110,0.0,0.0,0.0,767,0.0,0.0,0.0,897,"[[6649,0,0,0],[110,0,0,0],[767,0,0,0],[897,0,0,0]]"
2,0.8821891251605607,0.7685097186600878,0.253915011882782,0.4728620648384094,0.253915011882782,0.22526277601718903,0.7687925100326538,0.9993898868560791,0.8690545558929443,59007,0.5581395626068115,0.011488750576972961,0.02251407317817211,2089,0.5645161271095276,0.004781420808285475,0.009482525289058685,7320,0.0,0.0,0.0,8395,"[[58971,16,20,0],[2064,24,1,0],[7284,1,35,0],[8387,2,6,0]]",0.8386315722003,0.7897423720764574,0.297915518283844,0.4301591217517853,0.297915518283844,0.2886614501476288,0.7920650243759155,0.9968416094779968,0.8827329277992249,6649,0.4285714328289032,0.19090908765792847,0.2641509473323822,110,0.5,0.003911342937499285,0.0077619669027626514,767,0.0,0.0,0.0,897,"[[6628,18,3,0],[89,21,0,0],[756,8,3,0],[895,2,0,0]]"
3,0.8662956911509908,0.7701761466456627,0.2637532949447632,0.6141366362571716,0.2637532949447632,0.2449856698513031,0.7712462544441223,0.9976782202720642,0.8699700236320496,59007,0.7910447716712952,0.025370990857481956,0.04916511848568916,2089,0.5865632891654968,0.031010929495096207,0.058907490223646164,7320,0.3076923191547394,0.0009529481758363545,0.001900011789985001,8395,"[[58870,10,118,9],[2034,53,2,0],[7081,3,227,9],[8346,1,40,8]]",0.7893373647495303,0.7999525109818354,0.3288302719593048,0.6145922541618347,0.3288302719593048,0.35608184337615967,0.8016959428787231,0.9953376650810242,0.888083815574646,6649,0.9545454382896423,0.19090908765792847,0.3181818127632141,110,0.7021276354789734,0.1290743201971054,0.2180616855621338,767,0.0,0.0,0.0,897,"[[6618,1,28,2],[89,21,0,0],[665,0,99,3],[883,0,14,0]]"
4,0.8392288488860683,0.7741859889859525,0.29259032011032104,0.6362383365631104,0.29259032011032104,0.30001360177993774,0.7813478708267212,0.9890691041946411,0.8730226755142212,59007,0.731249988079071,0.056007660925388336,0.10404624789953232,2089,0.5719844102859497,0.060245901346206665,0.10901001840829849,7320,0.4603709876537323,0.06503871083259583,0.11397556960582733,8395,"[[58362,31,236,378],[1951,117,5,16],[6628,5,441,246],[7753,7,89,546]]",0.7427003607675778,0.8048201353437018,0.3079947829246521,0.6694701313972473,0.3079947829246521,0.3223450779914856,0.8137837052345276,0.9891713261604309,0.8929468393325806,6649,0.5,0.00909090880304575,0.0178571417927742,110,0.8225806355476379,0.06649282574653625,0.12303979694843292,767,0.5415162444114685,0.16722407937049866,0.25553661584854126,897,"[[6577,1,5,66],[108,1,0,1],[656,0,51,60],[741,0,6,150]]"
5,0.7976831115258564,0.785147960578563,0.3417354226112366,0.6453807950019836,0.3417354226112366,0.3747808337211609,0.7986811995506287,0.9791211485862732,0.8797442317008972,59007,0.6459627151489258,0.099569171667099,0.1725424975156784,2089,0.5862069129943848,0.08825136721134186,0.1534077525138855,7320,0.5506723523139954,0.20000000298023224,0.293428897857666,8395,"[[57775,88,304,840],[1833,208,1,47],[6183,8,646,483],[6547,18,151,1679]]",0.6935230550298381,0.8321263207883177,0.42219001054763794,0.7858020663261414,0.42219001054763794,0.4918026328086853,0.8422405123710632,0.9860129356384277,0.9084736108779907,6649,0.875,0.19090908765792847,0.31343281269073486,110,0.7476635575294495,0.20860496163368225,0.3261977434158325,767,0.6783042550086975,0.30323299765586853,0.4191063344478607,897,"[[6556,3,40,50],[88,21,0,1],[529,0,160,78],[611,0,14,272]]"
6,0.7353222647548968,0.8101183424249131,0.4375649690628052,0.6862920522689819,0.4375649690628052,0.49674421548843384,0.831842303276062,0.9691222906112671,0.8952502012252808,59007,0.6794871687889099,0.20296792685985565,0.31256911158561707,2089,0.604651153087616,0.22021858394145966,0.3228519856929779,7320,0.6291875839233398,0.35795116424560547,0.45630553364753723,8395,"[[57185,177,618,1027],[1569,424,20,76],[5027,13,1612,668],[4964,10,416,3005]]",0.6180163643556296,0.8675056393209071,0.5756315588951111,0.7098391652107239,0.5756315588951111,0.6177524328231812,0.9092727303504944,0.9571363925933838,0.932590901851654,6649,0.5416666865348816,0.23636363446712494,0.3291139006614685,110,0.5556900501251221,0.5984354615211487,0.5762711763381958,767,0.8327272534370422,0.5105908513069153,0.633033812046051,897,"[[6364,21,214,50],[67,26,14,3],[269,0,459,39],[299,1,139,458]]"
7,0.6764913134294229,0.8379659163401075,0.5329161286354065,0.7403819561004639,0.5329161286354065,0.6000512838363647,0.8611883521080017,0.9658176302909851,0.9105070233345032,59007,0.7237991094589233,0.3173767328262329,0.4412645697593689,2089,0.6719500422477722,0.3822404444217682,0.48728665709495544,7320,0.7045904397964478,0.4662298858165741,0.5611469745635986,8395,"[[56990,235,784,998],[1302,663,57,67],[3938,8,2798,576],[3946,10,525,3914]]",0.5629970120743959,0.898967113854921,0.6496095657348633,0.7503023147583008,0.6496095657348633,0.6825780868530273,0.9352476000785828,0.9601444005966187,0.9475325345993042,6649,0.5471698045730591,0.26363635063171387,0.355828195810318,110,0.7902351021766663,0.5697522759437561,0.6621212363243103,767,0.7285569906234741,0.8049052357673645,0.764830470085144,897,"[[6384,17,85,163],[62,29,6,13],[234,3,437,93],[146,4,25,722]]"
8,0.6352320570283416,0.8572470088919556,0.6027018427848816,0.7726442813873291,0.6027018427848816,0.6664625406265259,0.8787668347358704,0.965173602104187,0.9199456572532654,59007,0.7308622002601624,0.43417903780937195,0.5447447896003723,2089,0.7260998487472534,0.4689890742301941,0.5698871612548828,7320,0.7548483610153198,0.5424657464027405,0.6312724947929382,8395,"[[56952,295,825,935],[1057,907,58,67],[3387,23,3433,477],[3413,16,412,4554]]",0.5104385830933446,0.9202184494835569,0.6915963888168335,0.8785499334335327,0.6915963888168335,0.7562208771705627,0.9331810474395752,0.9830049872398376,0.9574452638626099,6649,0.8723404407501221,0.37272727489471436,0.522292971611023,110,0.8279569745063782,0.7027379274368286,0.7602255940437317,767,0.8807212114334106,0.7079152464866638,0.7849196791648865,897,"[[6536,4,58,51],[53,41,13,3],[195,1,539,32],[220,1,41,635]]"
9,0.6037565475165998,0.8724922211662393,0.6538897156715393,0.8055959939956665,0.6538897156715393,0.7144030928611755,0.8922492265701294,0.9664785265922546,0.9278817176818848,59007,0.7861271500587463,0.5208233594894409,0.626547634601593,2089,0.761541485786438,0.5318306088447571,0.6262869834899902,7320,0.7824659943580627,0.5964264273643494,0.6768960356712341,8395,"[[57029,252,816,910],[884,1088,75,42],[2963,24,3893,440],[3040,20,328,5007]]",0.514232741693809,0.9190312240294432,0.6787400841712952,0.8892088532447815,0.6787400841712952,0.7547622919082642,0.9216758012771606,0.9893217086791992,0.9543014764785767,6649,0.8235294222831726,0.38181817531585693,0.52173912525177,110,0.8845470547676086,0.6492829322814941,0.7488722205162048,767,0.9270833134651184,0.694537341594696,0.7941363453865051,897,"[[6578,9,43,19],[56,42,9,3],[242,0,498,27],[261,0,13,623]]"
10,0.5803937403783038,0.8840140084102538,0.6886143088340759,0.8238587379455566,0.6886143088340759,0.7447885274887085,0.9019697308540344,0.9684783220291138,0.9340415596961975,59007,0.7962716221809387,0.572522759437561,0.6661096811294556,2089,0.7842993140220642,0.5841529965400696,0.6695896983146667,7320,0.8128942847251892,0.6293031573295593,0.7094131708145142,8395,"[[57147,263,795,802],[797,1196,63,33],[2635,28,4276,381],[2779,15,318,5283]]",0.4778831224606833,0.9394515018401994,0.814944863319397,0.8514621257781982,0.814944863319397,0.8320286273956299,0.960985004901886,0.9742818474769592,0.9675877094268799,6649,0.7244898080825806,0.6454545259475708,0.682692289352417,110,0.8144329786300659,0.8239895701408386,0.8191834688186646,767,0.905940592288971,0.8160535097122192,0.8586510419845581,897,"[[6478,21,97,53],[26,71,9,4],[114,2,632,19],[123,4,38,732]]"
